Experiment,indicator_flex,fit_method,k_guess,lambda1,lambda2,guess_epsilon_host1,guess_epsilon_complex1,guess_epsilon_host2,guess_epsilon_complex2,associated_direct_titration
93,Constant,leastsq,100000,440,570,3000,7000,3000,0,
97,Constant,leastsq,50000,440,570,,,,,93
129,Constant,leastsq,20000,458,570,3000,8000,5000,1000,
133,Constant,leastsq,20000,458,570,,,,,129
135,Constant,leastsq,2000,458,570,,,,,129
139,Constant,leastsq,200000,446,550,2000,7000,5000,0,
141,Constant,leastsq,50000,446,550,,,,,139
147,Constant,leastsq,10000,476,570,2000,9000,2000,0,
149,Constant,leastsq,100000,470,560,2000,8000,2000,0,
151,Constant,leastsq,100000,470,560,,,,,149
157,Flex,leastsq,30000,490,361,1000,9000,4000,2000,
159,Flex,lbfgsb,20000,450,570,3000,7000,2000,0,
168,Constant,leastsq,1000,444,340,3000,6000,8000,3000,
169,Constant,leastsq,1000,430,540,2000,5000,5000,1000,
170,Constant,leastsq,1000,444,340,,,,,168
171,Flex,leastsq,1000,430,540,,,,,169
174,Constant,lbfgsb,3000,446,550,3000,8000,7000,0,
176,Constant,leastsq,3000,476,570,,,,,147
177a,Constant,lbfgsb,500,446,550,,,,,174
177b,Constant,lbfgsb,800,446,550,,,,,174
178a,Constant,leastsq,10000,490,361,,,,,157
178b,Constant,leastsq,2000,490,361,,,,,157
180a,Constant,lbfgsb,20000,450,570,,,,,159
180b,Constant,lbfgsb,10000,450,570,,,,,159
181a,Constant,leastsq,10000,440,570,,,,,93
181b,Flex,lbfgsb,20000,446,550,,,,,139
182a,Constant,leastsq,1000,476,570,,,,,147
182b,Constant,leastsq,100000,470,560,,,,,149
183a,Constant,leastsq,50000,440,570,,,,,93
183b,Flex,leastsq,50000,446,550,,,,,139
184a,Flex,leastsq,3000,476,570,,,,,147
184b,Constant,leastsq,100000,470,560,,,,,149
